,target,target_country,source,source_country,fee,fee_cleaned,season,transfer_period
0,1.FC Saarbrücken,Germany,Hamburger SV,Germany,€150Th.,0.15,1992/1993,Summer
1,1.FC Saarbrücken,Germany,FC Schalke 04,Germany,free transfer,0.0,1992/1993,Summer
2,1.FC Saarbrücken,Germany,Karlsruher SC,Germany,?,,1992/1993,Summer
3,1.FC Saarbrücken,Germany,RCD Espanyol Barcelona,Spain,?,,1992/1993,Summer
4,SG Wattenscheid 09,Germany,Bayer 04 Leverkusen,Germany,free transfer,0.0,1992/1993,Summer
5,KFC Uerdingen 05,Germany,1.FC Kaiserslautern,Germany,free transfer,0.0,1992/1993,Summer
6,KFC Uerdingen 05,Germany,Borussia Dortmund,Germany,?,,1992/1993,Summer
7,SV Werder Bremen,Germany,Hamburger SV,Germany,€1.00m,1.0,1992/1993,Summer
8,VfB Stuttgart,Germany,1.FC Nuremberg,Germany,€1.25m,1.25,1992/1993,Summer
9,VfB Stuttgart,Germany,Bayern Munich,Germany,free transfer,0.0,1992/1993,Summer
10,Karlsruher SC,Germany,Bayern Munich,Germany,€700Th.,0.7,1992/1993,Summer
11,Karlsruher SC,Germany,Dinamo Moscow,Russia,?,,1992/1993,Summer
12,Hamburger SV,Germany,SV Werder Bremen,Germany,loan transfer,,1992/1993,Summer
13,Hamburger SV,Germany,Bayern Munich,Germany,loan transfer,,1992/1993,Summer
14,FC Schalke 04,Germany,Bayern Munich,Germany,free transfer,0.0,1992/1993,Summer
15,FC Schalke 04,Germany,1.FC Kaiserslautern,Germany,?,,1992/1993,Summer
16,Bayern Munich,Germany,Borussia Dortmund,Germany,€3.75m,3.75,1992/1993,Summer
17,Bayern Munich,Germany,Bayer 04 Leverkusen,Germany,€2.80m,2.8,1992/1993,Summer
18,Bayern Munich,Germany,Karlsruher SC,Germany,€2.50m,2.5,1992/1993,Summer
19,Bayern Munich,Germany,Inter Milan,Italy,€2.00m,2.0,1992/1993,Summer
20,Bayern Munich,Germany,SG Wattenscheid 09,Germany,free transfer,0.0,1992/1993,Summer
21,Borussia Mönchengladbach,Germany,FC Nantes,France,?,,1992/1993,Summer
22,Borussia Dortmund,Germany,Juventus FC,Italy,€2.10m,2.1,1992/1993,Summer
23,Borussia Dortmund,Germany,Eintracht Frankfurt,Germany,?,,1992/1993,Summer
24,Borussia Dortmund,Germany,FC Schalke 04,Germany,?,,1992/1993,Summer
25,Borussia Dortmund,Germany,FC Schalke 04,Germany,?,,1992/1993,Summer
26,Bayer 04 Leverkusen,Germany,SG Dynamo Dresden,Germany,free transfer,0.0,1992/1993,Summer
27,Bayer 04 Leverkusen,Germany,1.FC Kaiserslautern,Germany,loan transfer,,1992/1993,Summer
28,1.FC Nuremberg,Germany,SG Dynamo Dresden,Germany,€600Th.,0.6,1992/1993,Summer
29,1.FC Nuremberg,Germany,VfB Stuttgart,Germany,loan transfer,,1992/1993,Summer
30,1.FC Kaiserslautern,Germany,1.FC Nuremberg,Germany,€500Th.,0.5,1992/1993,Summer
31,1.FC Kaiserslautern,Germany,SG Wattenscheid 09,Germany,"End of loanJun 30, 1992",,1992/1993,Summer
32,SG Dynamo Dresden,Germany,VfB Stuttgart,Germany,?,,1992/1993,Summer
33,SG Wattenscheid 09,Germany,SV Werder Bremen,Germany,?,,1992/1993,Winter
34,Eintracht Frankfurt,Germany,Dinamo Moscow,Russia,?,,1992/1993,Winter
35,Borussia Dortmund,Germany,Inter Milan,Italy,€4.25m,4.25,1992/1993,Winter
36,1.FC Nuremberg,Germany,Bayern Munich,Germany,loan transfer,,1992/1993,Winter
37,VfB Leipzig,Germany,Hamburger SV,Germany,€375Th.,0.375,1993/1994,Summer
38,SG Dynamo Dresden,Germany,1.FC Nuremberg,Germany,Loan fee:€9Th.,0.009,1993/1994,Summer
39,SG Dynamo Dresden,Germany,Spartak Moscow,Russia,?,,1993/1994,Summer
40,SG Dynamo Dresden,Germany,Eintracht Frankfurt,Germany,loan transfer,,1993/1994,Summer
41,SG Wattenscheid 09,Germany,Eintracht Frankfurt,Germany,€225Th.,0.225,1993/1994,Summer
42,SV Werder Bremen,Germany,Hamburger SV,Germany,"End of loanJun 30, 1993",,1993/1994,Summer
43,VfB Stuttgart,Germany,Eintracht Frankfurt,Germany,€850Th.,0.85,1993/1994,Summer
44,VfB Stuttgart,Germany,VfB Leipzig,Germany,€400Th.,0.4,1993/1994,Summer
45,VfB Stuttgart,Germany,Bayern Munich,Germany,€325Th.,0.325,1993/1994,Summer
46,VfB Stuttgart,Germany,1.FC Nuremberg,Germany,"End of loanJun 30, 1993",,1993/1994,Summer
47,SC Freiburg,Germany,FC Schalke 04,Germany,?,,1993/1994,Summer
48,MSV Duisburg,Germany,1.FC Nuremberg,Germany,€300Th.,0.3,1993/1994,Summer
49,Karlsruher SC,Germany,Eintracht Frankfurt,Germany,€475Th.,0.475,1993/1994,Summer
50,1.FC Kaiserslautern,Germany,1. FC Köln,Germany,€650Th.,0.65,1993/1994,Summer
51,1.FC Kaiserslautern,Germany,Borussia Dortmund,Germany,€475Th.,0.475,1993/1994,Summer
52,1.FC Kaiserslautern,Germany,Real Zaragoza,Spain,?,,1993/1994,Summer
53,1.FC Kaiserslautern,Germany,Bayer 04 Leverkusen,Germany,"End of loanJun 30, 1993",,1993/1994,Summer
54,FC Schalke 04,Germany,Twente Enschede FC,Netherlands,€700Th.,0.7,1993/1994,Summer
55,FC Schalke 04,Germany,SV Werder Bremen,Germany,loan transfer,,1993/1994,Summer
56,FC Schalke 04,Germany,SV Werder Bremen,Germany,?,,1993/1994,Summer
57,Bayern Munich,Germany,1.FC Kaiserslautern,Germany,€2.50m,2.5,1993/1994,Summer
58,Bayern Munich,Germany,SG Dynamo Dresden,Germany,€1.15m,1.15,1993/1994,Summer
59,Bayern Munich,Germany,1.FC Nuremberg,Germany,"End of loanJun 30, 1993",,1993/1994,Summer
60,Eintracht Frankfurt,Germany,VfB Stuttgart,Germany,€1.50m,1.5,1993/1994,Summer
61,Eintracht Frankfurt,Germany,Hamburger SV,Germany,€1.10m,1.1,1993/1994,Summer
62,Eintracht Frankfurt,Germany,FC Schalke 04,Germany,?,,1993/1994,Summer
63,Borussia Mönchengladbach,Germany,Bayer 04 Leverkusen,Germany,€800Th.,0.8,1993/1994,Summer
64,Borussia Dortmund,Germany,SS Lazio,Italy,€4.50m,4.5,1993/1994,Summer
65,Borussia Dortmund,Germany,FC Schalke 04,Germany,€1.50m,1.5,1993/1994,Summer
66,Bayer 04 Leverkusen,Germany,SG Dynamo Dresden,Germany,€875Th.,0.875,1993/1994,Summer
67,Bayer 04 Leverkusen,Germany,Atlético de Madrid,Spain,free transfer,0.0,1993/1994,Summer
68,1.FC Nuremberg,Germany,Bayern Munich,Germany,€1.00m,1.0,1993/1994,Summer
69,1.FC Nuremberg,Germany,VfB Stuttgart,Germany,€750Th.,0.75,1993/1994,Summer
70,1.FC Nuremberg,Germany,VfB Stuttgart,Germany,€300Th.,0.3,1993/1994,Summer
71,1.FC Nuremberg,Germany,Borussia Mönchengladbach,Germany,€300Th.,0.3,1993/1994,Summer
72,1. FC Köln,Germany,SV Werder Bremen,Germany,€775Th.,0.775,1993/1994,Summer
73,1. FC Köln,Germany,SG Dynamo Dresden,Germany,€475Th.,0.475,1993/1994,Summer
74,1. FC Köln,Germany,Rayo Vallecano,Spain,free transfer,0.0,1993/1994,Summer
75,Hamburger SV,Germany,Eintracht Frankfurt,Germany,€250Th.,0.25,1993/1994,Winter
76,VfB Leipzig,Germany,VfB Stuttgart,Germany,free transfer,0.0,1993/1994,Winter
77,VfB Leipzig,Germany,Inter Milan,Italy,loan transfer,,1993/1994,Winter
78,SG Dynamo Dresden,Germany,1. FC Köln,Germany,€500Th.,0.5,1993/1994,Winter
79,SV Werder Bremen,Germany,FC Schalke 04,Germany,"End of loanDec 31, 1993",,1993/1994,Winter
80,SC Freiburg,Germany,FC Schalke 04,Germany,€250Th.,0.25,1993/1994,Winter
81,FC Schalke 04,Germany,1.FC Nuremberg,Germany,?,,1993/1994,Winter
82,Eintracht Frankfurt,Germany,SS Lazio,Italy,Loan fee:€350Th.,0.35,1993/1994,Winter
83,Borussia Mönchengladbach,Germany,Blackburn Rovers,England,€550Th.,0.55,1993/1994,Winter
84,Borussia Dortmund,Germany,Atalanta BC,Italy,loan transfer,,1993/1994,Winter
85,1.FC Nuremberg,Germany,FC Metz,France,?,,1993/1994,Winter
86,1.FC Nuremberg,Germany,SG Dynamo Dresden,Germany,"End of loanMar 1, 1994",,1993/1994,Winter
87,1.FC Kaiserslautern,Germany,SG Dynamo Dresden,Germany,€1.40m,1.4,1994/1995,Summer
88,1.FC Kaiserslautern,Germany,SG Dynamo Dresden,Germany,€675Th.,0.675,1994/1995,Summer
89,KFC Uerdingen 05,Germany,1. FC Köln,Germany,€500Th.,0.5,1994/1995,Summer
90,KFC Uerdingen 05,Germany,Karlsruher SC,Germany,€450Th.,0.45,1994/1995,Summer
91,KFC Uerdingen 05,Germany,Borussia Dortmund,Germany,€150Th.,0.15,1994/1995,Summer
92,KFC Uerdingen 05,Germany,MSV Duisburg,Germany,free transfer,0.0,1994/1995,Summer
93,KFC Uerdingen 05,Germany,PSV Eindhoven,Netherlands,free transfer,0.0,1994/1995,Summer
94,KFC Uerdingen 05,Germany,1. FC Köln,Germany,"End of loanJun 30, 1994",,1994/1995,Summer
95,KFC Uerdingen 05,Germany,Eintracht Frankfurt,Germany,"End of loanSep 1, 1994",,1994/1995,Summer
96,SV Werder Bremen,Germany,Spartak Moscow,Russia,€800Th.,0.8,1994/1995,Summer
97,SV Werder Bremen,Germany,Borussia Dortmund,Germany,€750Th.,0.75,1994/1995,Summer
98,VfL Bochum,Germany,VfB Stuttgart,Germany,€400Th.,0.4,1994/1995,Summer
99,VfL Bochum,Germany,VfB Stuttgart,Germany,€250Th.,0.25,1994/1995,Summer
100,VfB Stuttgart,Germany,AC Milan,Italy,€1.60m,1.6,1994/1995,Summer
101,VfB Stuttgart,Germany,Borussia Dortmund,Germany,€1.00m,1.0,1994/1995,Summer
102,VfB Stuttgart,Germany,Bayer 04 Leverkusen,Germany,€1.00m,1.0,1994/1995,Summer
103,TSV 1860 Munich,Germany,1.FC Kaiserslautern,Germany,€750Th.,0.75,1994/1995,Summer
104,TSV 1860 Munich,Germany,KFC Uerdingen 05,Germany,€320Th.,0.32,1994/1995,Summer
105,TSV 1860 Munich,Germany,SG Dynamo Dresden,Germany,€250Th.,0.25,1994/1995,Summer
106,TSV 1860 Munich,Germany,Bayern Munich,Germany,€25Th.,0.025,1994/1995,Summer
107,TSV 1860 Munich,Germany,SC Freiburg,Germany,?,,1994/1995,Summer
108,MSV Duisburg,Germany,Karlsruher SC,Germany,€600Th.,0.6,1994/1995,Summer
109,MSV Duisburg,Germany,KFC Uerdingen 05,Germany,free transfer,0.0,1994/1995,Summer
110,MSV Duisburg,Germany,Inter Milan,Italy,?,,1994/1995,Summer
111,Karlsruher SC,Germany,AS Roma,Italy,€3.70m,3.7,1994/1995,Summer
112,Karlsruher SC,Germany,VfB Stuttgart,Germany,€850Th.,0.85,1994/1995,Summer
113,Karlsruher SC,Germany,1.FC Kaiserslautern,Germany,€800Th.,0.8,1994/1995,Summer
114,Karlsruher SC,Germany,MSV Duisburg,Germany,€600Th.,0.6,1994/1995,Summer
115,Hamburger SV,Germany,Bayer 04 Leverkusen,Germany,€610Th.,0.61,1994/1995,Summer
116,Hamburger SV,Germany,Eintracht Frankfurt,Germany,free transfer,0.0,1994/1995,Summer
117,FC Schalke 04,Germany,Bayern Munich,Germany,€1.25m,1.25,1994/1995,Summer
118,Bayern Munich,Germany,AC Milan,Italy,€2.75m,2.75,1994/1995,Summer
119,Bayern Munich,Germany,Karlsruher SC,Germany,€2.30m,2.3,1994/1995,Summer
120,Bayern Munich,Germany,Hamburger SV,Germany,"End of loanJun 30, 1994",,1994/1995,Summer
121,Eintracht Frankfurt,Germany,SS Lazio,Italy,€1.75m,1.75,1994/1995,Summer
122,Eintracht Frankfurt,Germany,SV Werder Bremen,Germany,€1.15m,1.15,1994/1995,Summer
123,Eintracht Frankfurt,Germany,TSV 1860 Munich,Germany,?,,1994/1995,Summer
124,Eintracht Frankfurt,Germany,KFC Uerdingen 05,Germany,loan transfer,,1994/1995,Summer
125,Eintracht Frankfurt,Germany,SG Dynamo Dresden,Germany,"End of loanJun 30, 1994",,1994/1995,Summer
126,Borussia Mönchengladbach,Germany,AC Fiorentina,Italy,Loan fee:€750Th.,0.75,1994/1995,Summer
127,Borussia Dortmund,Germany,Juventus FC,Italy,€4.60m,4.6,1994/1995,Summer
128,Borussia Dortmund,Germany,Juventus FC,Italy,€1.25m,1.25,1994/1995,Summer
129,Borussia Dortmund,Germany,Bayer 04 Leverkusen,Germany,€600Th.,0.6,1994/1995,Summer
130,Borussia Dortmund,Germany,Torino FC,Italy,free transfer,0.0,1994/1995,Summer
131,Borussia Dortmund,Germany,Chernomorets Novorossijsk,Russia,free transfer,0.0,1994/1995,Summer
132,Bayer 04 Leverkusen,Germany,Bayern Munich,Germany,€750Th.,0.75,1994/1995,Summer
133,1. FC Köln,Germany,Bayern Munich,Germany,€1.25m,1.25,1994/1995,Summer
134,1. FC Köln,Germany,Karlsruher SC,Germany,€50Th.,0.05,1994/1995,Summer
135,SG Dynamo Dresden,Germany,AC Reggiana,Italy,€600Th.,0.6,1994/1995,Summer
136,SG Dynamo Dresden,Germany,Hamburger SV,Germany,€225Th.,0.225,1994/1995,Summer
137,SG Dynamo Dresden,Germany,Hamburger SV,Germany,€350Th.,0.35,1994/1995,Winter
138,SG Dynamo Dresden,Germany,Hamburger SV,Germany,€250Th.,0.25,1994/1995,Winter
139,SG Dynamo Dresden,Germany,1.FC Kaiserslautern,Germany,free transfer,0.0,1994/1995,Winter
140,VfL Bochum,Germany,AS Saint-Étienne,France,?,,1994/1995,Winter
141,TSV 1860 Munich,Germany,Bayer 04 Leverkusen,Germany,Loan fee:€100Th.,0.1,1994/1995,Winter
142,MSV Duisburg,Germany,1.FC Kaiserslautern,Germany,€500Th.,0.5,1994/1995,Winter
143,FC Schalke 04,Germany,1. FC Köln,Germany,loan transfer,,1994/1995,Winter
144,Bayern Munich,Germany,Deportivo de La Coruña,Spain,Loan fee:€250Th.,0.25,1994/1995,Winter
145,FC St. Pauli,Germany,Eintracht Frankfurt,Germany,€150Th.,0.15,1995/1996,Summer
146,FC St. Pauli,Germany,Bayer 04 Leverkusen,Germany,free transfer,0.0,1995/1996,Summer
147,FC St. Pauli,Germany,VfB Stuttgart,Germany,€25Th.,0.025,1995/1996,Summer
148,FC St. Pauli,Germany,FC Hansa Rostock,Germany,loan transfer,,1995/1996,Summer
149,KFC Uerdingen 05,Germany,1.FC Kaiserslautern,Germany,€295Th.,0.295,1995/1996,Summer
150,KFC Uerdingen 05,Germany,PSV Eindhoven,Netherlands,free transfer,0.0,1995/1996,Summer
151,TSV 1860 Munich,Germany,1. FC Köln,Germany,€1.00m,1.0,1995/1996,Summer
152,SC Freiburg,Germany,Bayern Munich,Germany,€1.25m,1.25,1995/1996,Summer
153,SC Freiburg,Germany,Go Ahead Eagles,Netherlands,€360Th.,0.36,1995/1996,Summer
154,FC Schalke 04,Germany,Borussia Mönchengladbach,Germany,€600Th.,0.6,1995/1996,Summer
155,FC Schalke 04,Germany,Bayer 04 Leverkusen,Germany,€200Th.,0.2,1995/1996,Summer
156,FC Schalke 04,Germany,Borussia Dortmund,Germany,loan transfer,,1995/1996,Summer
157,FC Schalke 04,Germany,SD Compostela,Spain,"End of loanJun 30, 1995",,1995/1996,Summer
158,Eintracht Frankfurt,Germany,Bayern Munich,Germany,€1.00m,1.0,1995/1996,Summer
159,Eintracht Frankfurt,Germany,Manchester City,England,"End of loanJun 30, 1995",,1995/1996,Summer
160,Eintracht Frankfurt,Germany,Leeds United,England,"End of loanJun 30, 1995",,1995/1996,Summer
161,Borussia Mönchengladbach,Germany,AC Fiorentina,Italy,€3.80m,3.8,1995/1996,Summer
162,Borussia Mönchengladbach,Germany,Bayern Munich,Germany,€800Th.,0.8,1995/1996,Summer
163,Borussia Mönchengladbach,Germany,Roda JC Kerkrade,Netherlands,€650Th.,0.65,1995/1996,Summer
164,Borussia Mönchengladbach,Germany,Eintracht Frankfurt,Germany,€350Th.,0.35,1995/1996,Summer
165,Borussia Dortmund,Germany,Borussia Mönchengladbach,Germany,€5.50m,5.5,1995/1996,Summer
166,Borussia Dortmund,Germany,Juventus FC,Italy,€2.60m,2.6,1995/1996,Summer
167,Borussia Dortmund,Germany,Inter Milan,Italy,€1.40m,1.4,1995/1996,Summer
168,Bayer 04 Leverkusen,Germany,KFC Uerdingen 05,Germany,€2.00m,2.0,1995/1996,Summer
169,Bayer 04 Leverkusen,Germany,Borussia Mönchengladbach,Germany,€250Th.,0.25,1995/1996,Summer
170,Bayern Munich,Germany,1.FC Kaiserslautern,Germany,€3.30m,3.3,1995/1996,Summer
171,Bayern Munich,Germany,SV Werder Bremen,Germany,€2.54m,2.54,1995/1996,Summer
172,Bayern Munich,Germany,VfB Stuttgart,Germany,€2.50m,2.5,1995/1996,Summer
173,Bayern Munich,Germany,Tottenham Hotspur,England,€1.40m,1.4,1995/1996,Summer
174,Bayern Munich,Germany,Deportivo de La Coruña,Spain,?,,1995/1996,Summer
175,Fortuna Düsseldorf,Germany,Hamburger SV,Germany,€500Th.,0.5,1995/1996,Summer
176,Fortuna Düsseldorf,Germany,Inter Milan,Italy,€500Th.,0.5,1995/1996,Summer
177,Karlsruher SC,Germany,KFC Uerdingen 05,Germany,free transfer,0.0,1995/1996,Summer
178,VfB Stuttgart,Germany,Sporting CP,Portugal,€2.10m,2.1,1995/1996,Summer
179,VfB Stuttgart,Germany,AJ Auxerre,France,€2.00m,2.0,1995/1996,Summer
180,VfB Stuttgart,Germany,FC Schalke 04,Germany,€850Th.,0.85,1995/1996,Summer
181,VfB Stuttgart,Germany,1.FC Kaiserslautern,Germany,€850Th.,0.85,1995/1996,Summer
182,VfB Stuttgart,Germany,Eintracht Frankfurt,Germany,Loan fee:€250Th.,0.25,1995/1996,Summer
183,VfB Stuttgart,Germany,Bayern Munich,Germany,€75Th.,0.075,1995/1996,Summer
184,1. FC Köln,Germany,SC Freiburg,Germany,€400Th.,0.4,1995/1996,Summer
185,1. FC Köln,Germany,FC Schalke 04,Germany,"End of loanJun 30, 1995",,1995/1996,Summer
186,SV Werder Bremen,Germany,SC Freiburg,Germany,€3.25m,3.25,1995/1996,Summer
187,SV Werder Bremen,Germany,Bayer 04 Leverkusen,Germany,€1.25m,1.25,1995/1996,Summer
188,1.FC Kaiserslautern,Germany,FC St. Pauli,Germany,€900Th.,0.9,1995/1996,Summer
189,1.FC Kaiserslautern,Germany,1. FC Köln,Germany,€650Th.,0.65,1995/1996,Summer
190,KFC Uerdingen 05,Germany,TSV 1860 Munich,Germany,€40Th.,0.04,1995/1996,Winter
191,TSV 1860 Munich,Germany,1.FC Kaiserslautern,Germany,€200Th.,0.2,1995/1996,Winter
192,Hamburger SV,Germany,1.FC Kaiserslautern,Germany,€750Th.,0.75,1995/1996,Winter
193,Eintracht Frankfurt,Germany,Queens Park Rangers,England,€110Th.,0.11,1995/1996,Winter
194,Borussia Dortmund,Germany,SC Freiburg,Germany,€1.20m,1.2,1995/1996,Winter
195,Karlsruher SC,Germany,1.FC Kaiserslautern,Germany,€575Th.,0.575,1995/1996,Winter
196,1. FC Köln,Germany,SV Werder Bremen,Germany,€170Th.,0.17,1995/1996,Winter
197,SV Werder Bremen,Germany,1. FC Köln,Germany,€1.40m,1.4,1995/1996,Winter
198,Fortuna Düsseldorf,Germany,Bayer 04 Leverkusen,Germany,€75Th.,0.075,1996/1997,Summer
199,Fortuna Düsseldorf,Germany,Borussia Mönchengladbach,Germany,€20Th.,0.02,1996/1997,Summer
200,Fortuna Düsseldorf,Germany,1. FC Köln,Germany,?,,1996/1997,Summer
201,SV Werder Bremen,Germany,Bayern Munich,Germany,€2.50m,2.5,1996/1997,Summer
202,SV Werder Bremen,Germany,SC Freiburg,Germany,€1.00m,1.0,1996/1997,Summer
203,TSV 1860 Munich,Germany,Karlsruher SC,Germany,€750Th.,0.75,1996/1997,Summer
204,SC Freiburg,Germany,Bayern Munich,Germany,€750Th.,0.75,1996/1997,Summer
205,Karlsruher SC,Germany,RC Strasbourg Alsace,France,?,,1996/1997,Summer
206,Hamburger SV,Germany,TSV 1860 Munich,Germany,€1.05m,1.05,1996/1997,Summer
207,Hamburger SV,Germany,SV Werder Bremen,Germany,Loan fee:€350Th.,0.35,1996/1997,Summer
208,Hamburger SV,Germany,FC Girondins Bordeaux,France,?,,1996/1997,Summer
209,1. FC Köln,Germany,Borussia Dortmund,Germany,€400Th.,0.4,1996/1997,Summer
210,1. FC Köln,Germany,FC Schalke 04,Germany,?,,1996/1997,Summer
211,FC St. Pauli,Germany,VfB Stuttgart,Germany,loan transfer,,1996/1997,Summer
212,FC Schalke 04,Germany,Roda JC Kerkrade,Netherlands,€1.75m,1.75,1996/1997,Summer
213,FC Schalke 04,Germany,Borussia Dortmund,Germany,€200Th.,0.2,1996/1997,Summer
214,FC Hansa Rostock,Germany,MSV Duisburg,Germany,€75Th.,0.075,1996/1997,Summer
215,FC Hansa Rostock,Germany,FC St. Pauli,Germany,"End of loanMay 5, 1996",,1996/1997,Summer
216,Bayern Munich,Germany,SV Werder Bremen,Germany,€4.10m,4.1,1996/1997,Summer
217,Bayern Munich,Germany,Bayer 04 Leverkusen,Germany,€1.30m,1.3,1996/1997,Summer
218,Borussia Mönchengladbach,Germany,Bayer 04 Leverkusen,Germany,€650Th.,0.65,1996/1997,Summer
219,Borussia Mönchengladbach,Germany,EA Guingamp,France,?,,1996/1997,Summer
220,Borussia Dortmund,Germany,Juventus FC,Italy,€3.60m,3.6,1996/1997,Summer
221,Borussia Dortmund,Germany,FC Hansa Rostock,Germany,€2.30m,2.3,1996/1997,Summer
222,Borussia Dortmund,Germany,Manchester United,England,free transfer,0.0,1996/1997,Summer
223,Borussia Dortmund,Germany,FC Schalke 04,Germany,"End of loanJun 30, 1996",,1996/1997,Summer
224,Bayer 04 Leverkusen,Germany,Karlsruher SC,Germany,€800Th.,0.8,1996/1997,Summer
225,Bayer 04 Leverkusen,Germany,TSV 1860 Munich,Germany,"End of loanJun 30, 1996",,1996/1997,Summer
226,Arminia Bielefeld,Germany,Feyenoord Rotterdam,Netherlands,free transfer,0.0,1996/1997,Summer
227,Arminia Bielefeld,Germany,Ajax Amsterdam,Netherlands,?,,1996/1997,Summer
228,Arminia Bielefeld,Germany,Ajax Amsterdam,Netherlands,?,,1996/1997,Summer
229,Arminia Bielefeld,Germany,VfB Stuttgart,Germany,?,,1996/1997,Summer
230,Fortuna Düsseldorf,Germany,Bayer 04 Leverkusen,Germany,€200Th.,0.2,1996/1997,Winter
231,Fortuna Düsseldorf,Germany,Bayern Munich,Germany,Loan fee:€88Th.,0.088,1996/1997,Winter
232,Fortuna Düsseldorf,Germany,VfB Stuttgart,Germany,€60Th.,0.06,1996/1997,Winter
233,SC Freiburg,Germany,Borussia Mönchengladbach,Germany,€300Th.,0.3,1996/1997,Winter
234,MSV Duisburg,Germany,Borussia Dortmund,Germany,free transfer,0.0,1996/1997,Winter
235,FC Schalke 04,Germany,Roda JC Kerkrade,Netherlands,€250Th.,0.25,1996/1997,Winter
236,Borussia Mönchengladbach,Germany,AS Roma,Italy,Loan fee:€750Th.,0.75,1996/1997,Winter
237,Arminia Bielefeld,Germany,FC Hansa Rostock,Germany,loan transfer,,1996/1997,Winter
238,Hamburger SV,Germany,Leeds United,England,€2.15m,2.15,1997/1998,Summer
239,Hamburger SV,Germany,SV Werder Bremen,Germany,€1.50m,1.5,1997/1998,Summer
240,Hamburger SV,Germany,Arminia Bielefeld,Germany,€400Th.,0.4,1997/1998,Summer
241,SV Werder Bremen,Germany,TSV 1860 Munich,Germany,free transfer,0.0,1997/1998,Summer
242,SV Werder Bremen,Germany,Hamburger SV,Germany,"End of loanJun 30, 1997",,1997/1998,Summer
243,VfL Wolfsburg,Germany,Bayer 04 Leverkusen,Germany,€750Th.,0.75,1997/1998,Summer
244,VfL Wolfsburg,Germany,Hamburger SV,Germany,free transfer,0.0,1997/1998,Summer
245,VfL Wolfsburg,Germany,Hamburger SV,Germany,free transfer,0.0,1997/1998,Summer
246,VfL Wolfsburg,Germany,1.FC Kaiserslautern,Germany,free transfer,0.0,1997/1998,Summer
247,VfB Stuttgart,Germany,FC Hansa Rostock,Germany,€3.50m,3.5,1997/1998,Summer
248,VfB Stuttgart,Germany,RCD Espanyol Barcelona,Spain,Loan fee:€600Th.,0.6,1997/1998,Summer
249,TSV 1860 Munich,Germany,FC Hansa Rostock,Germany,free transfer,0.0,1997/1998,Summer
250,MSV Duisburg,Germany,Borussia Mönchengladbach,Germany,?,,1997/1998,Summer
251,Karlsruher SC,Germany,VfB Stuttgart,Germany,€900Th.,0.9,1997/1998,Summer
252,Karlsruher SC,Germany,RC Lens,France,?,,1997/1998,Summer
253,Hertha BSC,Germany,Stade Rennais FC,France,€900Th.,0.9,1997/1998,Summer
254,Hertha BSC,Germany,FC Utrecht,Netherlands,€600Th.,0.6,1997/1998,Summer
255,Hertha BSC,Germany,VfB Stuttgart,Germany,€250Th.,0.25,1997/1998,Summer
256,1.FC Kaiserslautern,Germany,Inter Milan,Italy,€3.30m,3.3,1997/1998,Summer
257,1.FC Kaiserslautern,Germany,VfB Stuttgart,Germany,€450Th.,0.45,1997/1998,Summer
258,1.FC Kaiserslautern,Germany,Deportivo de La Coruña,Spain,?,,1997/1998,Summer
259,FC Schalke 04,Germany,Feyenoord Rotterdam,Netherlands,€600Th.,0.6,1997/1998,Summer
260,FC Schalke 04,Germany,VfL Bochum,Germany,free transfer,0.0,1997/1998,Summer
261,FC Schalke 04,Germany,PSV Eindhoven,Netherlands,free transfer,0.0,1997/1998,Summer
262,FC Hansa Rostock,Germany,CD Tenerife,Spain,€1.80m,1.8,1997/1998,Summer
263,Bayern Munich,Germany,VfB Stuttgart,Germany,€6.50m,6.5,1997/1998,Summer
264,Bayern Munich,Germany,Athletic Bilbao,Spain,€4.50m,4.5,1997/1998,Summer
265,Bayern Munich,Germany,Karlsruher SC,Germany,€2.50m,2.5,1997/1998,Summer
266,Bayern Munich,Germany,Karlsruher SC,Germany,€2.40m,2.4,1997/1998,Summer
267,Borussia Mönchengladbach,Germany,Bayern Munich,Germany,free transfer,0.0,1997/1998,Summer
268,Borussia Mönchengladbach,Germany,MSV Duisburg,Germany,free transfer,0.0,1997/1998,Summer
269,Borussia Mönchengladbach,Germany,Blackburn Rovers,England,?,,1997/1998,Summer
270,Bayer 04 Leverkusen,Germany,FC Hansa Rostock,Germany,€1.25m,1.25,1997/1998,Summer
271,1. FC Köln,Germany,Karlsruher SC,Germany,€750Th.,0.75,1997/1998,Summer
272,1. FC Köln,Germany,Lokomotiv Moscow,Russia,€600Th.,0.6,1997/1998,Summer
273,1. FC Köln,Germany,FC Barcelona,Spain,free transfer,0.0,1997/1998,Summer
274,1. FC Köln,Germany,Borussia Dortmund,Germany,free transfer,0.0,1997/1998,Summer
275,VfL Wolfsburg,Germany,Hamburger SV,Germany,free transfer,0.0,1997/1998,Winter
276,TSV 1860 Munich,Germany,AJ Auxerre,France,€400Th.,0.4,1997/1998,Winter
277,TSV 1860 Munich,Germany,Stade Rennais FC,France,€100Th.,0.1,1997/1998,Winter
278,Karlsruher SC,Germany,RC Strasbourg Alsace,France,?,,1997/1998,Winter
279,Hertha BSC,Germany,Bayer 04 Leverkusen,Germany,€1.10m,1.1,1997/1998,Winter
280,Borussia Dortmund,Germany,FC Utrecht,Netherlands,€2.80m,2.8,1997/1998,Winter
