,Season 1992/1993,Season 1993/1994,Season 1994/1995,Season 1995/1996,Season 1996/1997,Season 1997/1998,Season 1998/1999,Season 1999/2000,Season 2000/2001,Season 2001/2002,Season 2002/2003,Season 2003/2004,Season 2004/2005,Season 2005/2006,Season 2006/2007,Season 2007/2008,Season 2008/2009,Season 2009/2010,Season 2010/2011,Season 2011/2012,Season 2012/2013,Season 2013/2014,Season 2014/2015,Season 2015/2016,Season 2016/2017,Season 2017/2018,Season 2018/2019,Season 2019/2020,Season 2020/2021,Season 2021/2022,Season 2022/2023
12,Real Sociedad,Albacete Balompié,Celta de Vigo,Real Zaragoza,Racing Santander,Real Zaragoza,Atlético de Madrid,Real Sociedad,Real Sociedad,Real Sociedad,Málaga CF,CA Osasuna,Getafe CF,RCD Mallorca,Deportivo de La Coruña,Real Betis Balompié,Athletic Bilbao,UD Almería,Real Zaragoza,Real Betis Balompié,RCD Espanyol Barcelona,Getafe CF,Elche CF,RCD Espanyol Barcelona,Celta de Vigo,Celta de Vigo,CD Leganés,Real Valladolid CF,Valencia CF,Elche CF,Celta de Vigo
13,Rayo Vallecano,Sporting Gijón,Atlético de Madrid,Real Oviedo,Real Zaragoza,Racing Santander,Real Oviedo,RCD Espanyol Barcelona,Rayo Vallecano,RCD Espanyol Barcelona,Real Valladolid CF,Albacete Balompié,Real Sociedad,Real Betis Balompié,CA Osasuna,Getafe CF,Sporting Gijón,Real Zaragoza,Levante UD,RCD Espanyol Barcelona,Real Valladolid CF,RCD Espanyol Barcelona,Levante UD,SD Eibar,UD Las Palmas,Deportivo Alavés,Villarreal CF,SD Eibar,Levante UD,RCD Espanyol Barcelona,Cádiz CF
14,CD Logroñés,Celta de Vigo,CD Tenerife,Athletic Bilbao,Sporting Gijón,UD Salamanca,Racing Santander,Racing Santander,CA Osasuna,Villarreal CF,Villarreal CF,Real Sociedad,CA Osasuna,RCD Espanyol Barcelona,Levante UD,Real Valladolid CF,CA Osasuna,Sporting Gijón,Real Sociedad,Rayo Vallecano,Granada CF,Granada CF,Getafe CF,Deportivo de La Coruña,Real Betis Balompié,Levante UD,Levante UD,Real Betis Balompié,Getafe CF,Getafe CF,Getafe CF
15,Real Oviedo,CD Logroñés,SD Compostela,Real Valladolid CF,Celta de Vigo,CD Tenerife,Deportivo Alavés,Real Oviedo,Real Valladolid CF,RCD Mallorca,Racing Santander,RCD Espanyol Barcelona,Racing Santander,Real Sociedad,Real Betis Balompié,Recreativo Huelva,Real Valladolid CF,Racing Santander,Getafe CF,Real Zaragoza,CA Osasuna,Elche CF,Deportivo de La Coruña,Granada CF,Deportivo de La Coruña,Athletic Bilbao,Real Valladolid CF,Deportivo Alavés,Deportivo Alavés,RCD Mallorca,Valencia CF
16,Albacete Balompié,Rayo Vallecano,Albacete Balompié,Racing Santander,Real Oviedo,SD Compostela,CF Extremadura,CD Numancia,Real Zaragoza,CA Osasuna,RCD Espanyol Barcelona,Racing Santander,RCD Mallorca,Racing Santander,Athletic Bilbao,CA Osasuna,Getafe CF,Málaga CF,RCD Mallorca,Granada CF,Celta de Vigo,UD Almería,Granada CF,Sporting Gijón,CD Leganés,CD Leganés,Celta de Vigo,Celta de Vigo,Elche CF,Cádiz CF,UD Almería
17,RCD Espanyol Barcelona,Real Valladolid CF,Sporting Gijón,Sporting Gijón,Rayo Vallecano,Real Oviedo,Villarreal CF,Real Betis Balompié,Real Oviedo,UD Las Palmas,Recreativo Huelva,Real Valladolid CF,Levante UD,Deportivo Alavés,Celta de Vigo,Real Zaragoza,Real Betis Balompié,Real Valladolid CF,Deportivo de La Coruña,Villarreal CF,RCD Mallorca,CA Osasuna,SD Eibar,Rayo Vallecano,Sporting Gijón,Deportivo de La Coruña,Girona FC,CD Leganés,SD Huesca,Granada CF,Real Valladolid CF
18,Cádiz CF,UE Lleida,Real Valladolid CF,Rayo Vallecano,CF Extremadura,CP Mérida,CD Tenerife,Atlético de Madrid,Racing Santander,CD Tenerife,Deportivo Alavés,Celta de Vigo,CD Numancia,Cádiz CF,Real Sociedad,Real Murcia CF,CD Numancia,CD Tenerife,Hércules CF,Sporting Gijón,Deportivo de La Coruña,Real Valladolid CF,UD Almería,Getafe CF,CA Osasuna,UD Las Palmas,SD Huesca,RCD Mallorca,Real Valladolid CF,Levante UD,RCD Espanyol Barcelona
19,Real Burgos,CA Osasuna,CD Logroñés,Albacete Balompié,Sevilla FC,Sporting Gijón,UD Salamanca,Sevilla FC,CD Numancia,Real Zaragoza,Rayo Vallecano,Real Murcia CF,Albacete Balompié,Málaga CF,Gimnàstic de Tarragona,Levante UD,Recreativo Huelva,Xerez CD,UD Almería,Racing Santander,Real Zaragoza,Real Betis Balompié,Córdoba CF,Levante UD,Granada CF,Málaga CF,Rayo Vallecano,RCD Espanyol Barcelona,SD Eibar,Deportivo Alavés,Elche CF
20,,,,CP Mérida,Hércules CF,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,UD Salamanca,CD Logroñés,,,,,,,,,,,,,,,,,,,,,,,,,,
